Start Time: 9/10/2024 3:29:54 PM
RDT Sample Rate: 500
Force Units: N
Counts per Unit Force: 1000000
Torque Units: Nm
Counts per Unit Torque: 1000000
Status (hex), RDTSequence, F/T Sequence, Fx , Fy , Fz , Tx , Ty , Tz , Time 
0x0, 32965, 17259, -0.008827999, -0.007679939, 0.1895933, -0.001083, -4.99934E-06, -0.0002580024, 15:31:08.838
0x0, 32966, 17260, -0.004627004, -0.001508951, 0.1951513, -0.001165, 0.0001040008, -4.100055E-05, 15:31:08.847
0x0, 32967, 17261, 0.0007150024, -0.002333999, 0.189816, -0.0007650005, -7.899944E-05, 0.000285998, 15:31:08.854
0x0, 32968, 17262, -0.009946004, 0.008754015, 0.2069302, -0.001412, 0.0001210002, -2.299994E-05, 15:31:08.862
0x0, 32969, 17263, -0.001957998, 0.01013398, 0.2041383, -0.002186, -0.0002589999, -3.800169E-05, 15:31:08.870
0x0, 32970, 17264, -0.00464201, 0.01617002, 0.2049031, -0.001786, -0.0002309997, 0.0003539994, 15:31:08.878
0x0, 32971, 17265, -0.010747, 0.02055597, 0.2008152, -0.001739, -0.0001719994, 0.0002410002, 15:31:08.887
0x0, 32972, 17266, -0.012494, -0.007416964, 0.1943073, -0.001545, -0.0001879996, 0.0005070008, 15:31:08.894
0x0, 32973, 17267, 0.002595991, 0.01023495, 0.1949034, -0.0009019999, -0.0003779996, 0.0003639981, 15:31:08.902
0x0, 32974, 17268, -0.017234, -0.0007350445, 0.1990123, -0.001199, 0.0002630008, -0.0004110001, 15:31:08.910
0x0, 32975, 17269, 0.014, 0.01368403, 0.2003531, -0.001526, -0.0002389997, 0.0005659983, 15:31:08.918
0x0, 32976, 17270, -0.0002489984, 0.02248096, 0.1976471, -0.001532, 0.0001340006, 0.0007339977, 15:31:08.927
0x0, 32977, 17271, -0.00637801, -0.004510999, 0.193562, -0.001787, -0.0006809998, 0.0005920008, 15:31:08.934
0x0, 32978, 17272, 0.002764001, 0.01291597, 0.191678, -0.001299, -0.0004389994, 0.0001650006, 15:31:08.942
0x0, 32979, 17273, -0.003283009, -0.01083398, 0.1883302, -0.001446, 0.0004350003, -0.0002080016, 15:31:08.950
0x0, 32980, 17274, 0.001561001, 0.01625502, 0.1906872, -0.0007199999, 0.0003540004, 0.000618998, 15:31:08.958
0x0, 32981, 17275, 0.000372991, 0.01318097, 0.2247581, -0.000984, -0.0001289994, 0.0001790002, 15:31:08.967
0x0, 32982, 17276, -0.01089001, 0.019503, 0.1989932, -0.001909, -0.000116, 0.0002389997, 15:31:08.975
0x0, 32983, 17277, -0.010618, 0.01306105, 0.1794744, -0.001756, -0.0003779996, 0.000452999, 15:31:08.982
0x0, 32984, 17278, -0.011031, -0.007388949, 0.202209, -0.001647, -0.0005789995, 0.0001179986, 15:31:08.990
0x0, 32985, 17279, -0.022698, -0.00572598, 0.182466, -0.001521, -0.00024, 0.0003389977, 15:31:08.998
0x0, 32986, 17280, -0.004914999, -0.0002510548, 0.2018671, -0.001181, 3.800076E-05, 0.0002599992, 15:31:09.006
0x0, 32987, 17281, -0.002620012, 0.01217604, 0.2062993, -0.001355, -0.0001389999, 0.0002719983, 15:31:09.015
0x0, 32988, 17282, 0.002792001, 0.002994061, 0.1970329, -0.001474, 3.800076E-05, 4.29973E-05, 15:31:09.022
0x0, 32989, 17283, -0.013548, 0.006963015, 0.1808743, -0.002102, -0.0002499996, 0.000266999, 15:31:09.030
0x0, 32990, 17284, -0.01532, 0.01262605, 0.1823959, -0.001649, -0.0002969997, 0.0004849993, 15:31:09.038
0x0, 32991, 17285, -0.001864001, -0.01285994, 0.1951823, -0.0007699998, -1.29994E-05, 0.000223998, 15:31:09.047
0x0, 32992, 17286, 0.00485, -0.007009983, 0.1894794, -0.001057, -0.0002259994, -0.0001250021, 15:31:09.055
0x0, 32993, 17287, 0.002532989, -0.001240015, 0.1942849, -0.001226, -0.0005389992, 0.0001010001, 15:31:09.062
0x0, 32994, 17288, -0.022843, 0.003700972, 0.1885619, -0.001475, 0.0002510007, 0.0001950003, 15:31:09.070
